Family,Instance Name,with-VBGS,,,without-VBGS,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
misc,c-23,4853,4840,4838,4892,4892,4892
misc,c-24,5539,5478,5474,5676,5676,5676
misc,c-25,5832,5832,5832,5986,5986,5986
misc,c-26,5496,5458,5450,5603,5603,5603
misc,c-27,5427,5414,5409,5523,5523,5523
misc,c-28,5478,5437,5437,5616,5616,5616
misc,c-29,6493,6441,6403,6604,6604,6604
misc,c-30,6466,6442,6439,6549,6549,6549
misc,c-31,7764,7712,7703,7859,7859,7859
misc,c-32,6922,6922,6922,6928,6928,6928
misc,c-33,8488,8483,8483,8732,8732,8732
misc,c-34,8476,8476,8476,8502,8502,8502
misc,c-35,8032,8000,7996,8141,8141,8141
misc,c-36,9742,9635,9560,9862,9862,9862
misc,c-37,10529,10413,10413,10549,10549,10549
misc,c-38,9885,9858,9856,9920,9920,9920
misc,c-39,13019,12967,12880,13121,13121,13121
misc,c-40,12447,12306,12147,12551,12551,12551
misc,c-41,11679,11633,11632,11730,11730,11730
misc,c-42,12704,12605,12590,12828,12828,12828
misc,c-43,13445,13399,13310,13478,13478,13478
misc,c-44,13046,12995,12993,13099,13099,13099
misc,c-45,14771,14759,14759,14780,14780,14780
misc,c-46,18424,18173,17926,18553,18553,18553
misc,c-47,20768,20620,20554,20887,20887,20887
misc,c-48,21873,21561,21335,21547,21547,21547
misc,c-49,23624,23528,23462,23677,23677,23677
misc,c-50,25437,25360,25209,25484,25484,25484
misc,c-51,27405,27200,27108,27322,27322,27322
misc,c-52,26625,26535,26465,26654,26654,26654
misc,c-53,34288,34230,34159,34321,34321,34321
misc,c-54,35752,35702,35687,35761,35761,35761
misc,c-55,42448,41758,41534,42078,41842,41842
misc,c-56,41773,41530,41283,41712,41712,41712
misc,c-57,42203,42137,42090,42217,42217,42217
misc,c-58,46148,46031,46028,46162,46076,46076
misc,c-59,51643,50544,50212,51132,50744,50744
misc,c-60,48265,48169,48087,48269,48269,48269
misc,c-61,47772,47656,47594,47741,47741,47741
misc,c-62,57458,53294,52901,53563,52989,52989
misc,c-62ghs,57558,53190,52891,53766,53024,53024
misc,c-63,51456,51185,51059,51443,51221,51221
misc,c-64,57536,57482,57475,57534,57534,57534
misc,c-64b,57524,57498,57449,57533,57528,57528
misc,c-65,52022,51868,51753,51981,51981,51981
misc,c-66,55348,55250,55064,55309,55089,55089
misc,c-66b,55354,55225,55068,55246,55066,55066
misc,c-67,61498,61363,61170,61509,61509,61509
misc,c-67b,61513,61422,61186,61480,61480,61480
misc,c-68,80091,75732,75352,77514,75651,75651
misc,c-69,78103,75797,75565,76781,75639,75639
misc,c-70,78808,77726,77507,79023,77869,77869
misc,c-71,101194,92197,91899,94506,92203,92203
misc,c-72,93350,92805,92702,93814,92750,92750
misc,c-73,181209,181158,181117,181202,181174,181174
misc,c-73b,181363,181113,181112,181201,181164,181164
misc,ca-actor-collaboration,156013,155946,155452,156014,155891,155587
misc,ca-AstroPh,34369,32953,32355,34440,33957,33957
misc,ca-cit-HepPh,101562,101476,101041,101577,101531,101531
misc,ca-cit-HepTh,83676,83609,83504,83689,83673,83654
misc,ca-CondMat,31334,30739,30549,31284,31284,31284
misc,cage10,18733,18733,18733,18812,18812,18812
misc,cage11,57874,57574,57529,58012,57858,57858
misc,cage12,189796,189380,188271,189724,189104,188872
misc,cage13,266593,263919,246685,260817,260134,246595
misc,cage9,6042,6042,6042,6116,6116,6116
misc,CAG-mat1916,9442,9442,9442,9439,9439,9439
misc,ca-GrQc,6359,6356,6355,6485,6485,6485
misc,ca-HepPh,19351,19043,19007,19538,19538,19538
misc,ca-HepTh,12902,12809,12746,13212,13212,13212
misc,caidaRouterLevel,236311,221852,220203,222353,220848,220194
misc,cant,80743,80321,80321,80743,80231,80231
misc,ca-opsahl-collaboration,35607,34775,34325,35905,35905,35905
misc,car4,51926,51874,51773,51962,51962,51962
misc,cari,7408,7353,7305,7406,7406,7406
misc,case39,42985,42793,42793,42983,42917,42917
misc,case9,15213,15213,15213,15227,15227,15227
misc,cat-ears-3-4,24620,24521,24424,24706,24706,24706
misc,cat-ears-4-4,79728,79322,78812,79749,79687,79687
misc,cavity05,2236,2236,2236,2243,2243,2243
misc,cavity06,2242,2242,2242,2244,2244,2244
misc,cavity07,2234,2234,2234,2244,2244,2244
misc,cavity08,2238,2238,2238,2244,2244,2244
misc,cavity09,2240,2240,2240,2240,2240,2240
misc,cavity10,4062,4062,4060,4097,4097,4097
misc,cavity11,4058,4058,4058,4062,4062,4062
misc,cavity12,4072,4072,4072,4098,4098,4098
misc,cavity13,4066,4066,4066,4056,4056,4056
misc,cavity14,4066,4066,4066,4071,4071,4071
misc,cavity16,6411,6411,6411,6414,6414,6414
misc,cavity17,6406,6406,6406,6414,6414,6414
misc,cavity18,6406,6406,6406,6414,6414,6414
misc,cavity19,6406,6406,6406,6414,6414,6414
misc,cavity20,6406,6406,6406,6414,6414,6414
misc,cavity21,6408,6408,6408,6414,6414,6414
misc,cavity22,6413,6413,6413,6414,6414,6414
misc,cavity23,6410,6410,6410,6418,6418,6418
misc,cavity24,6406,6406,6406,6414,6414,6414
misc,cavity25,6409,6409,6409,6414,6414,6414
misc,cavity26,6413,6413,6413,6414,6414,6414
misc,c-big,389301,374087,372906,377063,375172,372917
misc,cbuckle,18487,18487,18486,18513,18513,18513
misc,cca,53996,53864,53756,54018,54018,54018
misc,ccc,59073,59037,58937,59134,59134,59134
misc,cegb2802,5995,5995,5995,6052,6052,6052
misc,cegb2919,6774,6774,6774,6877,6877,6877
misc,cegb3024,4486,4486,4486,4633,4633,4633
misc,cegb3306,4448,4448,4448,4531,4531,4531
misc,cell1,8102,8102,8102,8147,8147,8147
misc,cell2,8095,8095,8095,8129,8129,8129
misc,cfd1,97031,89865,89317,92161,90146,90058
misc,cfd2,158565,145617,144430,148445,145397,144964
misc,cfinder-google,23641,23381,23299,23490,23490,23490
misc,ch,14113,14054,14039,14179,14179,14179
misc,ch6-6-b3,14483,14307,14234,14640,14640,14640
misc,ch6-6-b4,14950,14839,14788,15145,15145,15145
misc,ch7-6-b3,32144,31721,31480,32243,32243,32243
misc,ch7-6-b4,47048,46598,46197,47193,47193,47193
misc,ch7-6-b5,26059,25881,25666,26128,26128,26128
misc,ch7-7-b2,13862,13676,13515,14042,14042,14042
misc,ch7-7-b5,131521,129664,128398,131111,129987,129987
misc,ch7-8-b2,20381,20194,20036,20539,20539,20539
misc,ch7-8-b3,132649,131750,130538,132649,132019,132019
misc,ch7-8-b4,377838,377838,371294,377838,376096,371672
misc,ch7-8-b5,425124,425124,404661,425124,414072,405092
misc,ch7-9-b2,28832,28631,28514,28984,28984,28984
