Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
dimacs10,delaunay-n18,268936,268936,268936,272047,268771,268771,272047,268846,268846,269363,269363,269363,270469,269348,269348,270469,269229,269229,331124,331124,331124,356372,346693,340175,375521,297426,297426,271531,271531,271531,271497,271497,271497,271458,271458,271458
dimacs10,delaunay-n19,538516,534063,534063,538516,533816,533816,538516,533916,533916,534529,534529,534529,535937,534515,534515,535937,534337,534337,738580,705760,705760,736166,725257,711202,738580,738580,610186,538551,538551,538551,538552,538544,538455,538519,538519,538519
dimacs10,delaunay-n20,1068810,1062481,1062481,1068810,1062147,1062147,1068810,1062315,1062315,1065236,1063157,1063157,1065236,1063135,1063135,1065236,1062876,1062876,1464800,1439592,1439592,1454369,1449308,1433244,1464800,1464800,1225286,1069928,1069928,1069928,1069903,1069830,1069792,1069928,1069928,1069928
dimacs10,fe-4elt2,12583,12583,12583,12562,12562,12562,12574,12574,12574,12889,12889,12889,12884,12884,12884,12780,12780,12780,18116,18116,18116,18483,18483,18483,17033,17033,17033,12671,12671,12671,12671,12671,12671,12671,12671,12671
dimacs10,fe-ocean,161442,161442,161442,161388,161388,161388,165033,160831,160831,163191,163191,163191,163173,163173,163173,164634,162741,162741,285704,285704,285704,287691,287313,286255,288174,232467,232467,159651,159651,159651,159651,159651,159651,159650,159650,159650
dimacs10,fe-rotor,113291,113291,113291,112970,112969,112969,124903,113111,113111,116820,116820,116820,116756,116755,116755,123478,115699,115699,254360,254360,254360,255759,254441,249758,292808,190005,190005,114990,114990,114990,114990,114990,114990,114987,114987,114987
dimacs10,fe-sphere,18584,18584,18584,18563,18563,18563,18535,18535,18535,19240,19240,19240,19236,19236,19236,18976,18976,18976,26643,26643,26643,26643,26643,26643,26643,26643,26643,18716,18716,18716,18689,18689,18689,18702,18702,18702
dimacs10,fe-tooth,89399,89399,89399,89315,89313,89313,89278,89278,89278,89587,89587,89587,89538,89538,89538,89401,89401,89401,209249,209249,209249,216790,213678,213678,186210,186210,186210,90467,90467,90467,90467,90467,90467,90463,90463,90463
dimacs10,inf-belgium-osm,1443144,1443144,1443144,1443157,1443144,1443144,1443157,1443137,1443137,1443187,1443187,1443187,1443197,1443187,1443187,1443197,1443170,1443170,1503146,1503146,1465715,1503146,1503146,1457699,1503146,1503146,1467742,1451753,1451753,1451753,1451812,1451812,1451702,1451815,1450918,1450918
dimacs10,inf-luxembourg-osm,115013,115013,115013,115013,115013,115013,115011,115011,115011,115039,115039,115039,115039,115039,115039,115039,115039,115039,116749,116749,116749,116629,116600,116600,116681,116681,116681,115772,115772,115772,115756,115756,115756,115769,115769,115769
dimacs10,m14b,241873,241873,241873,263361,241754,241754,263361,241510,241510,262092,245214,245214,262092,244909,244908,262092,243989,243989,996274,988912,988912,992409,992306,986380,996274,996274,347540,249521,249521,249521,249521,249521,249521,249521,249521,249521
dimacs10,rgg-n-2-15-s0,34564,34564,34564,34556,34556,34556,34537,34537,34537,34714,34714,34714,34713,34713,34713,34647,34647,34647,65756,65756,65756,71554,71554,61432,66752,66752,66752,36139,36139,36139,36101,36101,36101,36139,36139,36139
dimacs10,rgg-n-2-16-s0,68253,68253,68253,68232,68232,68232,68202,68202,68202,68568,68568,68568,68568,68568,68568,68481,68481,68481,136540,136540,136540,136112,133811,133794,152320,80732,80732,71006,71006,71006,71006,71006,71006,70983,70983,70983
dimacs10,rgg-n-2-17-s0,135386,135386,135386,137859,135327,135327,137859,135312,135312,135649,135649,135649,135878,135648,135648,135878,135513,135513,304401,304401,304401,313765,313765,312135,315924,285568,285568,140250,140250,140250,140250,140216,140216,140201,140201,140201
